SKU,Retail Price ,Wholesale Price,UPC,Quantity,Item Size,Name,URL,Brand,Product Category,Item Type
289757,30,18.19,802609270163,9,12 OZ,Anthony by Anthony,https://www.fragrancenet.com/anthony-skin-care/anti-aging/anthony/facial/sc/en_US/28686,Anthony,Skincare,Body Care
290142,200,99.5,3473311415905,1,1 OZ,Sisley by Sisley,https://www.fragrancenet.com/sisley-skin-care/anti-aging/sisley/facial/sc/en_US/02172,Sisley,Skincare,Day Care
290278,200,128,3770004394012,17,3.3 OZ,LIQUIDES IMAGINAIRES FORTIS by Liquides Imaginaires,https://www.fragrancenet.com/liquides-imaginaires-fortis-fragrance/liquides-imaginaires/womens-fragrances/wf/en_US/28767,LIQUIDES IMAGINAIRES FORTIS,Fragrance,Fragrances
290593,20.95,10.49,646630012336,14,10.1 OZ,SEXY HAIR by Sexy Hair Concepts,https://www.fragrancenet.com/sexy-hair-shampoo/sexy-hair-concepts/hair-care-products/hc/en_US/10095,SEXY HAIR,Haircare,Conditioner
290693,5,3.75,3760022730435,24,0.05 OZ,LADY VENGEANCE by Juliette Has A Gun,https://www.fragrancenet.com/lady-vengeance-perfume/juliette-has-a-gun/womens-fragrances/wf/en_US/20671,LADY VENGEANCE,Fragrance,Fragrances
291029,46,38.5,716170109640,5,N/A,Bobbi Brown by Bobbi Brown,https://www.fragrancenet.com/bobbi-brown-Makeup/bobbi-brown/Cosmetics/cos/en_US/10757,Bobbi Brown,Makeup,Accessories
291044,100,56,768614119678,24,1 OZ,SHISEIDO by Shiseido,https://www.fragrancenet.com/shiseido-skin-care/anti-aging/shiseido/facial/sc/en_US/02152,SHISEIDO,Skincare,Day Care
119938,58,13.5,719346450607,24,3.3 OZ,DIAMONDS & RUBIES by Elizabeth Taylor,https://www.fragrancenet.com/diamonds-%26-rubies-perfume/elizabeth-taylor/womens-fragrances/wf/en_US/00703,DIAMONDS & RUBIES,Fragrance,Fragrances
120074,99,54.5,3360377022928,24,4.2 OZ,POLO BLUE by Ralph Lauren,https://www.fragrancenet.com/polo-blue-cologne/ralph-lauren/mens-fragrances/mf/en_US/01913,POLO BLUE,Fragrance,Fragrances
120540,49,24,27131043287,24,1 OZ,PLEASURES by Estee Lauder,https://www.fragrancenet.com/pleasures-perfume/estee-lauder/womens-fragrances/wf/en_US/01902,PLEASURES,Fragrance,Fragrances
120767,61,34.5,3274872404113,3,1 OZ,KENZO FLOWER by Kenzo,https://www.fragrancenet.com/kenzo-flower-perfume/kenzo/womens-fragrances/wf/en_US/01383,KENZO FLOWER,Fragrance,Fragrances
121033,22.5,10,3616301783848,24,2.6 OZ,CK BE by Calvin Klein,https://www.fragrancenet.com/ck-be-fragrance/calvin-klein/womens-fragrances/wf/en_US/00549,CK BE,Fragrance,Bath & Body
122305,36,16,88300692361,24,6.8 OZ,CONTRADICTION by Calvin Klein,https://www.fragrancenet.com/contradiction-perfume/calvin-klein/womens-fragrances/wf/en_US/00581,CONTRADICTION,Fragrance,Bath & Body
122403,68,32.5,3386460076388,24,3.3 OZ,ROCHAS MAN by Rochas,https://www.fragrancenet.com/rochas-man-cologne/rochas/mens-fragrances/mf/en_US/02016,ROCHAS MAN,Fragrance,Fragrances
123175,13,12.5,716393041802,24,2.6 OZ,PASSION by Elizabeth Taylor,https://www.fragrancenet.com/passion-perfume/elizabeth-taylor/womens-fragrances/wf/en_US/01854,PASSION,Fragrance,Bath & Body
123248,78,65,3614222401919,24,1 OZ,TIFFANY & CO by Tiffany,https://www.fragrancenet.com/tiffany-%26-co-perfume/tiffany/womens-fragrances/wf/en_US/31594,TIFFANY & CO,Fragrance,Fragrances
123405,28,10.5,3414200009935,12,5 OZ,COOL WATER by Davidoff,https://www.fragrancenet.com/cool-water-perfume/davidoff/womens-fragrances/wf/en_US/00583,COOL WATER,Fragrance,Bath & Body
123575,70,40.5,766124873202,1,2.5 OZ,STRENESSE by Gabriele Strehle,https://www.fragrancenet.com/strenesse-perfume/gabriele-strehle/womens-fragrances/wf/en_US/02227,STRENESSE,Fragrance,Fragrances
123639,112,44,3352818517803,24,1.7 OZ,KENZO FLOWER by Kenzo,https://www.fragrancenet.com/kenzo-flower-perfume/kenzo/womens-fragrances/wf/en_US/01383,KENZO FLOWER,Fragrance,Fragrances
291378,78,46.5,847137020330,19,1 OZ,CosMedix by CosMedix,https://www.fragrancenet.com/cosmedix-skin-care/anti-aging/cosmedix/facial/sc/en_US/23228,CosMedix,Skincare,Night Care
291563,88,61.5,8011003825745,18,3.4 OZ,VERSACE DYLAN BLUE by Gianni Versace,https://www.fragrancenet.com/versace-dylan-blue-cologne/gianni-versace/mens-fragrances/mf/en_US/28862,VERSACE DYLAN BLUE,Fragrance,Fragrances
291663,29,17.5,20714832971,3,0.13 OZ,CLINIQUE by Clinique,https://www.fragrancenet.com/clinique-Makeup/clinique/Cosmetics/cos/en_US/00564,CLINIQUE,Makeup,Lip Color
291965,128,72,3605970859251,24,4.2 OZ,POLO BLUE by Ralph Lauren,https://www.fragrancenet.com/polo-blue-cologne/ralph-lauren/mens-fragrances/mf/en_US/01913,POLO BLUE,Fragrance,Fragrances
292350,45,6.75,893565001373,24,3.4 OZ,SYM?δTRIE HARMONY by Sym??trie,https://www.fragrancenet.com/sym%c3%a9trie-harmony-perfume/sym%c3%a9trie/womens-fragrances/wf/en_US/30304,SYM?δTRIE HARMONY,Fragrance,Fragrances
292401,86,51,3137370321538,6,2.7 OZ,LUNA NINA RICCI  by Nina Ricci,https://www.fragrancenet.com/luna-nina-ricci--perfume/nina-ricci/womens-fragrances/wf/en_US/29122,LUNA NINA RICCI ,Fragrance,Fragrances
292635,12.5,7,,8,0.5 OZ,OPI by OPI,https://www.fragrancenet.com/opi-Makeup/opi/Cosmetics/cos/en_US/20348,OPI,Makeup,Accessories
293035,128,115.5,3432240009661,5,3.3 OZ,MUST DE CARTIER by Cartier,https://www.fragrancenet.com/must-de-cartier-perfume/cartier/womens-fragrances/wf/en_US/01725,MUST DE CARTIER,Fragrance,Fragrances
